numfiles,class,method,line,instruction,branch,exceptions,input
1,0.3625,0.2922077922077922,0.24178298063935164,0.22846441947565543,0.13925327951564076,0,file000001_85_28_6113124742377355027.json
2,0.3625,0.2922077922077922,0.24178298063935164,0.22846441947565543,0.13925327951564076,1,file000002_91_28_4931751926340853238.json
3,0.3625,0.2922077922077922,0.24178298063935164,0.22846441947565543,0.13925327951564076,2,file000003_197_27_2499220501322007054.json
4,0.425,0.36147186147186144,0.3124718595227375,0.2867843766720171,0.17759838546922302,3,file000004_226_29_8094860702445611594.json
5,0.425,0.36147186147186144,0.3124718595227375,0.2867843766720171,0.17759838546922302,4,file000005_220_29_10143782074930634849.json
6,0.425,0.36147186147186144,0.3124718595227375,0.28705189941145,0.17860746720484358,5,file000006_244_28_347154147483425185.json
7,0.425,0.36147186147186144,0.3129221071589374,0.2874977706438381,0.17961654894046417,6,file000007_242_29_3027528526780668044.json
8,0.425,0.36147186147186144,0.3129221071589374,0.2874977706438381,0.17961654894046417,7,file000008_149_28_15375702164144664232.json
9,0.425,0.36147186147186144,0.3129221071589374,0.2874977706438381,0.17961654894046417,7,file000009_60_24_18262626822303345959.json
10,0.425,0.36147186147186144,0.3129221071589374,0.2874977706438381,0.17961654894046417,8,file000010_228_27_16343114135007772544.json
11,0.425,0.36147186147186144,0.3129221071589374,0.2874977706438381,0.17961654894046417,9,file000011_216_27_7414724111762334386.json
12,0.425,0.36147186147186144,0.3129221071589374,0.2874977706438381,0.17961654894046417,9,file000012_42_20_11096596459369619854.json
13,0.425,0.36147186147186144,0.3129221071589374,0.2874977706438381,0.17961654894046417,10,file000013_223_28_16356197592982243231.json
14,0.425,0.36147186147186144,0.3156235929761369,0.28937042981986805,0.18163471241170534,11,file000014_148_29_7274143756485991052.json
15,0.425,0.36147186147186144,0.3156235929761369,0.28937042981986805,0.18163471241170534,11,file000015_58_26_6423282769313244763.json
16,0.425,0.36147186147186144,0.3156235929761369,0.28937042981986805,0.18163471241170534,12,file000016_192_27_8397947775316133239.json
17,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.18365287588294651,13,file000017_178_27_9122014515644923304.json
18,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1846619576185671,14,file000018_262_29_6646881679020401024.json
19,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1846619576185671,14,file000019_58_26_979209172625367816.json
20,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1846619576185671,15,file000020_171_27_8607867780935004990.json
21,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1846619576185671,16,file000021_163_27_16582464006674212278.json
22,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1846619576185671,17,file000022_116_27_38363998348200346.json
23,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1846619576185671,18,file000023_161_28_2034189918509645503.json
24,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1846619576185671,19,file000024_237_28_11814819078057198374.json
25,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,19,file000025_152_28_4152422616750460656.json
26,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,20,file000026_211_28_3092827416653884095.json
27,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,21,file000027_206_28_18040416276003006710.json
28,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,22,file000028_206_27_11670538229154399781.json
29,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,23,file000029_186_29_15707071064784020679.json
30,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,24,file000030_233_27_13587662287821935305.json
31,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,25,file000031_271_29_5904320272937515567.json
32,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,26,file000032_139_28_4401456988459569112.json
33,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,26,file000033_77_24_10539728353025567821.json
34,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,27,file000034_138_29_6546393255960572951.json
35,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,27,file000035_85_28_16580911810856694968.json
36,0.425,0.36147186147186144,0.3160738406123368,0.29052969502407705,0.1856710393541877,27,file000036_107_27_12732661136139383111.json
