numfiles,class,method,line,instruction,branch,exceptions,input
1,0.3375,0.23593073593073594,0.16118865375956776,0.1514178705189941,0.09485368314833502,1,file000001_167_27_9545664801421992896.json
2,0.3375,0.23593073593073594,0.16118865375956776,0.1514178705189941,0.09485368314833502,2,file000002_162_27_3527765799263775873.json
3,0.3375,0.23593073593073594,0.16118865375956776,0.1514178705189941,0.09485368314833502,3,file000003_245_29_10057756649672049532.json
4,0.3625,0.2987012987012987,0.24628545700135074,0.23274478330658105,0.14732593340060546,3,file000004_69_26_14648652153186322668.json
5,0.3875,0.3203463203463203,0.2633948671769473,0.24674514000356698,0.16448032290615539,4,file000005_205_27_10413083680657989314.json
6,0.425,0.35714285714285715,0.3084196307969383,0.28375245229177815,0.17356205852674067,5,file000006_194_27_11120342100416693883.json
7,0.425,0.35714285714285715,0.3084196307969383,0.28375245229177815,0.17457114026236126,5,file000007_121_28_10081531044706908595.json
8,0.425,0.35714285714285715,0.3084196307969383,0.28375245229177815,0.17457114026236126,5,file000008_75_26_10524708167200402715.json
9,0.425,0.35714285714285715,0.3084196307969383,0.28375245229177815,0.17457114026236126,6,file000009_214_29_9680749902698320740.json
10,0.425,0.35714285714285715,0.3084196307969383,0.28375245229177815,0.17457114026236126,6,file000010_58_26_5715154113835990619.json
11,0.425,0.35714285714285715,0.3084196307969383,0.28375245229177815,0.17457114026236126,7,file000011_153_28_11608851405162025518.json
12,0.425,0.35714285714285715,0.3084196307969383,0.28375245229177815,0.17457114026236126,7,file000012_64_26_11427679143698970295.json
13,0.425,0.35714285714285715,0.30886987843313823,0.2841091492776886,0.17658930373360243,8,file000013_176_28_13658717322374492781.json
14,0.425,0.35714285714285715,0.30886987843313823,0.2841091492776886,0.17658930373360243,8,file000014_116_26_18340779365753712581.json
15,0.425,0.35714285714285715,0.30886987843313823,0.2841091492776886,0.17658930373360243,8,file000015_63_28_7638206751599280425.json
16,0.425,0.35714285714285715,0.30886987843313823,0.2841091492776886,0.17658930373360243,9,file000016_226_27_5015280132416864763.json
17,0.425,0.35714285714285715,0.30886987843313823,0.2841091492776886,0.17658930373360243,10,file000017_183_29_8240809775873773338.json
18,0.425,0.35714285714285715,0.30886987843313823,0.2841091492776886,0.17658930373360243,11,file000018_138_28_1077430097122481932.json
19,0.425,0.35714285714285715,0.30886987843313823,0.2841091492776886,0.17658930373360243,11,file000019_6_4_7965632714156393364.json
